SaleDate,ItemsSold,RunningTotal,Country
2010-12-01,107,107,Australia
2010-12-08,214,321,Australia
2010-12-14,-13,308,Australia
2010-12-17,146,454,Australia
2011-01-06,4802,5256,Australia
2011-01-10,96,5352,Australia
2011-01-11,238,5590,Australia
2011-01-14,60,5650,Australia
2011-01-17,204,5854,Australia
2011-01-19,113,5967,Australia
2011-01-20,21,5988,Australia
2011-01-28,110,6098,Australia
2011-02-07,58,6156,Australia
2011-02-15,8384,14540,Australia
2011-02-27,217,14757,Australia
2011-03-03,10162,24919,Australia
2011-03-09,90,25009,Australia
2011-03-24,77,25086,Australia
2011-04-01,1,25087,Australia
2011-04-04,-8,25079,Australia
2011-04-08,224,25303,Australia
2011-04-28,-100,25203,Australia
2011-05-12,184,25387,Australia
2011-05-17,8268,33655,Australia
2011-05-20,396,34051,Australia
2011-05-23,231,34282,Australia
2011-05-31,-6,34276,Australia
2011-06-02,-8,34268,Australia
2011-06-15,15241,49509,Australia
2011-06-30,740,50249,Australia
2011-07-13,4332,54581,Australia
2011-07-14,429,55010,Australia
2011-07-19,174,55184,Australia
2011-07-24,214,55398,Australia
2011-07-26,36,55434,Australia
2011-08-12,374,55808,Australia
2011-08-18,12196,68004,Australia
2011-09-01,2836,70840,Australia
2011-09-05,82,70922,Australia
2011-09-16,317,71239,Australia
2011-09-25,478,71717,Australia
2011-09-28,330,72047,Australia
2011-10-05,7135,79182,Australia
2011-10-06,266,79448,Australia
2011-11-02,96,79544,Australia
2011-11-03,408,79952,Australia
2011-11-04,347,80299,Australia
2011-11-15,3130,83429,Australia
2011-11-24,224,83653,Australia
2010-12-15,-48,-48,Austria
2010-12-17,51,3,Austria
2011-02-01,197,200,Austria
2011-02-02,145,345,Austria
2011-03-03,53,398,Austria
2011-03-23,929,1327,Austria
2011-04-26,311,1638,Austria
2011-05-06,42,1680,Austria
2011-05-23,434,2114,Austria
2011-06-14,-6,2108,Austria
2011-07-12,100,2208,Austria
2011-07-28,473,2681,Austria
2011-08-08,550,3231,Austria
2011-08-19,240,3471,Austria
2011-10-18,491,3962,Austria
2011-11-13,375,4337,Austria
2011-11-14,342,4679,Austria
2011-12-08,148,4827,Austria
2010-12-20,54,54,Bahrain
2011-01-05,-54,0,Bahrain
2011-05-09,240,240,Bahrain
2011-05-19,20,260,Bahrain
2010-12-03,528,528,Belgium
2010-12-17,285,813,Belgium
2010-12-21,188,1001,Belgium
2010-12-22,754,1755,Belgium
