SaleDate,ItemsSold,RunningTotal
2010-12-01,26814,26814
2010-12-02,21023,47837
2010-12-03,14830,62667
2010-12-05,16395,79062
2010-12-06,21419,100481
2010-12-07,24995,125476
2010-12-08,22741,148217
2010-12-09,18431,166648
2010-12-10,20297,186945
2010-12-12,10565,197510
2010-12-13,17623,215133
2010-12-14,20098,235231
2010-12-15,18229,253460
2010-12-16,29632,283092
2010-12-17,16069,299161
2010-12-19,3795,302956
2010-12-20,14965,317921
2010-12-21,15467,333388
2010-12-22,3192,336580
2010-12-23,5648,342228
2011-01-04,7939,350167
2011-01-05,18435,368602
2011-01-06,22461,391063
2011-01-07,16475,407538
2011-01-09,8181,415719
2011-01-10,9014,424733
2011-01-11,29093,453826
2011-01-12,10133,463959
2011-01-13,10114,474073
2011-01-14,23091,497164
2011-01-16,4181,501345
2011-01-17,13345,514690
2011-01-18,8664,523354
2011-01-19,17108,540462
2011-01-20,8720,549182
2011-01-21,14938,564120
2011-01-23,5194,569314
2011-01-24,11910,581224
2011-01-25,14793,596017
2011-01-26,10854,606871
2011-01-27,10974,617845
2011-01-28,17414,635259
2011-01-30,3367,638626
2011-01-31,12568,651194
2011-02-01,15340,666534
2011-02-02,9355,675889
2011-02-03,16935,692824
2011-02-04,11367,704191
2011-02-06,2048,706239
2011-02-07,8679,714918
2011-02-08,10201,725119
2011-02-09,7148,732267
2011-02-10,11447,743714
2011-02-11,9831,753545
2011-02-13,2715,756260
2011-02-14,13469,769729
2011-02-15,22533,792262
2011-02-16,15990,808252
2011-02-17,14544,822796
2011-02-18,8165,830961
2011-02-20,5346,836307
2011-02-21,21456,857763
2011-02-22,21448,879211
2011-02-23,13622,892833
2011-02-24,11724,904557
2011-02-25,9888,914445
2011-02-27,4858,919303
2011-02-28,9880,929183
2011-03-01,12120,941303
2011-03-02,8495,949798
2011-03-03,18414,968212
2011-03-04,13332,981544
2011-03-06,4989,986533
2011-03-07,13715,1000248
2011-03-08,6918,1007166
2011-03-09,4458,1011624
2011-03-10,15767,1027391
2011-03-11,10465,1037856
2011-03-13,2741,1040597
2011-03-14,16717,1057314
2011-03-15,8918,1066232
2011-03-16,12583,1078815
2011-03-17,20589,1099404
2011-03-18,13756,1113160
2011-03-20,14165,1127325
2011-03-21,10201,1137526
2011-03-22,14884,1152410
2011-03-23,11283,1163693
2011-03-24,18157,1181850
2011-03-25,13303,1195153
2011-03-27,4408,1199561
2011-03-28,13125,1212686
2011-03-29,32413,1245099
2011-03-30,19719,1264818
2011-03-31,16237,1281055
2011-04-01,17374,1298429
2011-04-03,5660,1304089
2011-04-04,13045,1317134
2011-04-05,14763,1331897
2011-04-06,8576,1340473
2011-04-07,10356,1350829
2011-04-08,9230,1360059
2011-04-10,5526,1365585
2011-04-11,13499,1379084
2011-04-12,15121,1394205
2011-04-13,18100,1412305
2011-04-14,17401,1429706
2011-04-15,12726,1442432
2011-04-17,8181,1450613
2011-04-18,22246,1472859
2011-04-19,14383,1487242
2011-04-20,17973,1505215
2011-04-21,18253,1523468
2011-04-26,15665,1539133
2011-04-27,17836,1556969
2011-04-28,13184,1570153
2011-05-01,3814,1573967
2011-05-03,11867,1585834
2011-05-04,15765,1601599
2011-05-05,17331,1618930
2011-05-06,19632,1638562
2011-05-08,10692,1649254
2011-05-09,12951,1662205
2011-05-10,17719,1679924
2011-05-11,16233,1696157
2011-05-12,36141,1732298
2011-05-13,15074,1747372
2011-05-15,4898,1752270
2011-05-16,14484,1766754
2011-05-17,26886,1793640
2011-05-18,18785,1812425
2011-05-19,17783,1830208
2011-05-20,15154,1845362
2011-05-22,12736,1858098
2011-05-23,16443,1874541
2011-05-24,15629,1890170
2011-05-25,11839,1902009
2011-05-26,16192,1918201
2011-05-27,16713,1934914
2011-05-29,4084,1938998
2011-05-31,11546,1950544
2011-06-01,10880,1961424
2011-06-02,13838,1975262
2011-06-03,7557,1982819
2011-06-05,13470,1996289
2011-06-06,9167,2005456
2011-06-07,18462,2023918
2011-06-08,20784,2044702
2011-06-09,30275,2074977
2011-06-10,8134,2083111
2011-06-12,9482,2092593
2011-06-13,9387,2101980
2011-06-14,-13752,2088228
2011-06-15,29978,2118206
2011-06-16,18178,2136384
2011-06-17,11678,2148062
2011-06-19,15060,2163122
2011-06-20,15518,2178640
2011-06-21,7846,2186486
2011-06-22,15769,2202255
2011-06-23,14272,2216527
2011-06-24,9827,2226354
2011-06-26,3495,2229849
2011-06-27,9835,2239684
2011-06-28,19642,2259326
2011-06-29,11544,2270870
2011-06-30,21297,2292167
2011-07-01,7358,2299525
2011-07-03,3106,2302631
2011-07-04,15682,2318313
2011-07-05,21696,2340009
2011-07-06,19275,2359284
2011-07-07,18956,2378240
2011-07-08,11681,2389921
2011-07-10,4214,2394135
2011-07-11,14989,2409124
2011-07-12,13760,2422884
2011-07-13,16206,2439090
2011-07-14,16904,2455994
2011-07-15,6841,2462835
2011-07-17,11042,2473877
2011-07-18,14366,2488243
2011-07-19,26287,2514530
2011-07-20,16795,2531325
2011-07-21,19747,2551072
2011-07-22,10019,2561091
2011-07-24,17271,2578362
2011-07-25,15457,2593819
2011-07-26,13560,2607379
2011-07-27,13859,2621238
2011-07-28,29700,2650938
2011-07-29,11472,2662410
2011-07-31,20873,2683283
2011-08-01,9947,2693230
2011-08-02,15624,2708854
2011-08-03,15660,2724514
2011-08-04,37992,2762506
2011-08-05,12200,2774706
2011-08-07,5080,2779786
2011-08-08,13104,2792890
2011-08-09,15605,2808495
2011-08-10,14228,2822723
2011-08-11,40191,2862914
2011-08-12,11962,2874876
2011-08-14,3135,2878011
2011-08-15,10141,2888152
2011-08-16,11213,2899365
2011-08-17,23567,2922932
2011-08-18,33122,2956054
2011-08-19,10609,2966663
2011-08-21,8164,2974827
2011-08-22,15387,2990214
2011-08-23,15112,3005326
2011-08-24,29288,3034614
2011-08-25,13184,3047798
2011-08-26,17756,3065554
2011-08-28,6770,3072324
2011-08-30,10182,3082506
2011-08-31,6976,3089482
2011-09-01,27829,3117311
2011-09-02,10725,3128036
2011-09-04,10941,3138977
2011-09-05,23484,3162461
2011-09-06,14959,3177420
2011-09-07,16211,3193631
2011-09-08,16944,3210575
2011-09-09,16100,3226675
2011-09-11,21122,3247797
2011-09-12,17086,3264883
2011-09-13,36904,3301787
2011-09-14,9590,3311377
2011-09-15,29181,3340558
2011-09-16,15166,3355724
2011-09-18,8966,3364690
2011-09-19,28973,3393663
2011-09-20,43702,3437365
2011-09-21,19581,3456946
2011-09-22,32263,3489209
2011-09-23,21222,3510431
2011-09-25,19329,3529760
2011-09-26,14948,3544708
2011-09-27,21060,3565768
2011-09-28,25157,3590925
2011-09-29,26365,3617290
2011-09-30,22009,3639299
2011-10-02,8380,3647679
2011-10-03,24652,3672331
2011-10-04,18689,3691020
2011-10-05,46161,3737181
2011-10-06,31268,3768449
2011-10-07,30431,3798880
2011-10-09,7275,3806155
2011-10-10,25405,3831560
2011-10-11,20091,3851651
2011-10-12,15525,3867176
2011-10-13,17859,3885035
2011-10-14,17475,3902510
2011-10-16,8311,3910821
2011-10-17,30214,3941035
2011-10-18,28960,3969995
2011-10-19,19039,3989034
2011-10-20,40802,4029836
2011-10-21,24728,4054564
2011-10-23,7068,4061632
2011-10-24,21514,4083146
2011-10-25,24686,4107832
2011-10-26,20865,4128697
2011-10-27,32301,4160998
2011-10-28,23845,4184843
2011-10-30,20062,4204905
2011-10-31,4926,4209831
2011-11-01,16686,4226517
2011-11-02,28319,4254836
2011-11-03,34019,4288855
2011-11-04,33546,4322401
2011-11-06,23295,4345696
2011-11-07,27689,4373385
2011-11-08,26124,4399509
2011-11-09,36238,4435747
2011-11-10,38077,4473824
2011-11-11,28513,4502337
2011-11-13,20356,4522693
2011-11-14,45959,4568652
2011-11-15,30221,4598873
2011-11-16,29353,4628226
2011-11-17,30779,4659005
2011-11-18,23535,4682540
2011-11-20,19369,4701909
2011-11-21,24004,4725913
2011-11-22,35284,4761197
2011-11-23,37350,4798547
2011-11-24,23743,4822290
2011-11-25,31026,4853316
2011-11-27,11161,4864477
2011-11-28,28647,4893124
2011-11-29,30511,4923635
2011-11-30,26482,4950117
2011-12-01,26819,4976936
2011-12-02,26952,5003888
2011-12-04,12396,5016284
2011-12-05,44119,5060403
2011-12-06,29026,5089429
2011-12-07,39612,5129041
2011-12-08,34460,5163501
2011-12-09,12949,5176450
